provider_id,name,registration_number,qualification,specialization,hospital,address,phone,mobile,email,city,state,consultation_fee,timings,languages,expected_error_type
P075,Dr. Neha Kulkarni,UPMC/10747/2023,"MBBS, MD (Dermatology)",Dermatologist,SGPGIMS,"430, Gomti Nagar, Lucknow, Uttar Pradesh - 226197",0522-82108521,+91-7222741367,dr.neha.kulkarni@sgpgims.com,Lucknow,Uttar Pradesh,₹500-800,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P076,Dr. Ritu Singh,MMC/15968/2023,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Aditya Birla Hospital,"635, Kothrud, Pune, Maharashtra - 411535",020-56709717,+91-8629904415,dr.ritu.singh@aditya.com,Pune,Maharashtra,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Marathi",MOVED_ADDRESS
P077,Dr. Ravi Gupta,TSMC/64832/2014,"MBBS, MD (Medicine)",General Physician,Sunrise Clinic,"576, Kukatpally, Hyderabad, Telangana - 500581",040-25943487,+91-6227299336,dr.ravi.gupta@sunrise.com,Hyderabad,Telangana,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Telugu",MULTIPLE_CONFLICTS
P078,Dr. Sunita Kumar,RMC/17575/2019,"BDS, MDS",Dentist,Fortis Escorts Hospital,"855, Tonk Road, Jaipur, Rajasthan - 302703",0141-71408461,+91-7148112695,dr.sunita.kumar@fortis.com,Jaipur,Rajasthan,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P079,Dr. Lakshmi Rao,UPMC/81806/2016,"MBBS, MD (Medicine)",General Physician,Sahara Hospital,"141, Aliganj, Lucknow, Uttar Pradesh - 226651",0522-92151201,+91-9736468138,dr.lakshmi.rao@sahara.com,Lucknow,Uttar Pradesh,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P080,Dr. Ramesh Reddy,RMC/85374/2018,"MBBS, MD (Medicine)",General Physician,Gandhi Nagar Clinic,"767, Ganga Shahar, Bikaner, Rajasthan - 334845",0151-75700937,+91-7130775649,dr.ramesh.reddy@gandhi.com,Bikaner,Rajasthan,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MOVED_ADDRESS
P081,Dr. Rajesh Kulkarni,UPMC/15514/2009,"MBBS, MD, DM (Cardiology)",Cardiologist,Hazratganj Medical,"408, Aliganj, Lucknow, Uttar Pradesh - 226877",0522-72221262,+91-8452394119,dr.rajesh.kulkarni@hazratganj.com,Lucknow,Uttar Pradesh,₹1000-1500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",CORRECT_DATA
P082,Dr. Swati Agarwal,UPMC/41764/2014,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Gomti Nagar Clinic,"913, Aliganj, Lucknow, Uttar Pradesh - 226980",0522-64147465,+91-8787415286,dr.swati.agarwal@gomti.com,Lucknow,Uttar Pradesh,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P083,Dr. Pooja Pillai,UPMC/20047/2014,"MBBS, MD (Medicine)",General Physician,Apollo Medics Hospital,"263, Hazratganj, Lucknow, Uttar Pradesh - 226244",0522-55152458,+91-8849283003,dr.pooja.pillai@apollo.com,Lucknow,Uttar Pradesh,₹400-600,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P084,Dr. Ramesh Desai,MMC/42137/2015,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Hinduja Hospital Khar,"106, Andheri West, Mumbai, Maharashtra - 400109",022-66136922,+91-9521371609,dr.ramesh.desai@hinduja.com,Mumbai,Maharashtra,₹800-1200,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",CORRECT_DATA
P085,Dr. Ajay Iyer,WBMC/37628/2015,"MBBS, MD (Medicine)",General Physician,Apollo Gleneagles,"291, New Town, Kolkata, West Bengal - 700238",033-45287573,+91-9656506659,dr.ajay.iyer@apollo.com,Kolkata,West Bengal,₹300-500,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Bengali",CORRECT_DATA
P086,Dr. Nitin Reddy,TSMC/55624/2015,"MBBS, MD (Medicine)",General Physician,Sunrise Clinic,"628, Madhapur, Hyderabad, Telangana - 500638",040-22800612,+91-6714784985,dr.nitin.reddy@sunrise.com,Hyderabad,Telangana,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Telugu",OUTDATED_PHONE
P087,Dr. Nitin Mehta,MMC/53120/2020,"MBBS, MD, DM (Cardiology)",Cardiologist,Ruby Hall Clinic,"621, Aundh, Pune, Maharashtra - 411581",020-87137982,+91-7492487787,dr.nitin.mehta@ruby.com,Pune,Maharashtra,₹1200-2000,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Marathi",CORRECT_DATA
P088,Dr. Ajay Patel,MMC/20607/2019,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Columbia Asia Kharadi,"98, Pimpri, Pune, Maharashtra - 411682",020-57418441,+91-7134761746,dr.ajay.patel@columbia.com,Pune,Maharashtra,₹800-1200,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Marathi",MOVED_ADDRESS
P089,Dr. Kavita Sharma,MMC/25853/2012,"MBBS, MD (Pediatrics)",Pediatrician,Sahyadri Hospital Deccan,"756, Hinjewadi, Pune, Maharashtra - 411403",020-21239414,+91-666778511,dr.kavita.sharma@sahyadri.com,Pune,Maharashtra,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Marathi",OUTDATED_PHONE
P090,Dr. Neha Reddy,RMC/89820/2016,"MBBS, MD (Pediatrics)",Pediatrician,Malviya Nagar Clinic,"259, Mansarovar, Jaipur, Rajasthan - 302342",0141-78628339,+91-8901066732,dr.neha.reddy@malviya.com,Jaipur,Rajasthan,₹500-800,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",HOSPITAL_CHANGED
P091,Dr. Ravi Menon,TNMC/87394/2015,"MBBS, MD, DM (Cardiology)",Cardiologist,City Medical Center,"916, Nungambakkam, Chennai, Tamil Nadu - 600992",044-23009653,+91-6546701727,dr.ravi.menon@city.com,Chennai,Tamil Nadu,₹1000-1500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Tamil",OUTDATED_PHONE
P092,Dr. Priya Kulkarni,RMC/70668/2019,"MBBS, MD (Medicine)",General Physician,Malviya Nagar Clinic,"347, Mansarovar, Jaipur, Rajasthan - 302858",0141-53538029,+91-7872333272,dr.priya.kulkarni@malviya.com,Jaipur,Rajasthan,₹400-600,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P093,Dr. Sanjay Iyer,RMC/71881/2009,"MBBS, MD (Pediatrics)",Pediatrician,CK Birla Hospital RBH,"270, Vaishali Nagar, Jaipur, Rajasthan - 302906",0141-63988326,+91-9300665216,dr.sanjay.iyer@ck.com,Jaipur,Rajasthan,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MOVED_ADDRESS
P094,Dr. Karthik Rao,GMC/EXPIRED/2003,"MBBS, MD (Medicine)",General Physician,Sterling Hospital Memnagar,"938, Maninagar, Ahmedabad, Gujarat - 380363",079-81890193,+91-9969932710,dr.karthik.rao@sterling.com,Ahmedabad,Gujarat,₹400-600,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Gujarati",REGISTRATION_ISSUE
P095,Dr. Ajay Mehta,DMC/39774/2016,"MBBS, MD, DM (Neurology)",Neurologist,Fortis Hospital Vasant Kunj,"383, Rohini, Delhi, Delhi - 110748",011-48515378,+91-9427013878,dr.ajay.mehta@fortis.com,Delhi,Delhi,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi",CORRECT_DATA
P096,Dr. Sunita Kumar,RMC/79043/2023,"MBBS, MD (Medicine)",General Physician,Sadul Hospital,"739, Sadul Ganj, Bikaner, Rajasthan - 334492",0151-50438950,+91-7967994702,dr.sunita.kumar@sadul.com,Bikaner,Rajasthan,₹400-600,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P097,Dr. Nisha Verma,UPMC/43467/2020,"MBBS, MD (Medicine)",General Physician,Sahara Hospital,"615, Gomti Nagar, Lucknow, Uttar Pradesh - 226929",0522-44135298,+91-9966930318,dr.nisha.verma@sahara.com,Lucknow,Uttar Pradesh,₹400-600,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",HOSPITAL_CHANGED
P098,Dr. Kavita Pillai,DMC/68513/2020,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Metro Hospital,"734, Vasant Kunj, Delhi, Delhi - 110849",011-83983259,+91-8382910382,dr.kavita.pillai@metro.com,Delhi,Delhi,₹800-1200,Mon-Sat: 9 AM - 5 PM,"English, Hindi",CORRECT_DATA
P099,Dr. Rajesh Singh,MMC/EXPIRED/2001,"MBBS, MS (Ophthalmology)",Ophthalmologist,Kokilaben Dhirubhai Ambani,"349, Bandra, Mumbai, Maharashtra - 400950",022-62603330,+91-8862736553,dr.rajesh.singh@kokilaben.com,Mumbai,Maharashtra,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Marathi",REGISTRATION_ISSUE
P100,Dr. Arun Pillai,TSMC/13042/2021,"MBBS, MD (Pediatrics)",Pediatrician,Continental Hospital Gachibowli,"855, Jubilee Hills, Hyderabad, Telangana - 500773",040-94776400,+91-9400748422,dr.arun.pillai@continental.com,Hyderabad,Telangana,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Telugu",MOVED_ADDRESS
P101,Dr. Asha Kumar,GMC/75210/2015,"MBBS, MD (Pediatrics)",Pediatrician,SAL Hospital Drive In,"594, SG Highway, Ahmedabad, Gujarat - 380491",079-22008379,+91-6269626192,dr.asha.kumar@sal.com,Ahmedabad,Gujarat,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Gujarati",OUTDATED_PHONE
P102,Dr. Ashok Joshi,GMC/45957/2013,"MBBS, MD (Medicine)",General Physician,HCG Cancer Centre,"540, Navrangpura, Ahmedabad, Gujarat - 380505",079-75448891,+91-7938641588,dr.ashok.joshi@hcg.com,Ahmedabad,Gujarat,₹300-500,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Gujarati",CORRECT_DATA
P103,Dr. Amit Nair,UPMC/16152/2008,"MBBS, MD (Pediatrics)",Pediatrician,Gomti Nagar Clinic,"254, Ashiyana, Lucknow, Uttar Pradesh - 226252",0522-79660074,+91-9376210391,dr.amit.nair@gomti.com,Lucknow,Uttar Pradesh,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P104,Dr. Kavita Desai,RMC/64736/2019,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Sadul Hospital,"554, Station Road, Bikaner, Rajasthan - 334662",0151-65090812,+91-839688656,dr.kavita.desai@sadul.com,Bikaner,Rajasthan,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MOVED_ADDRESS
P105,Dr. Anand Sharma,RMC/28081/2015,"MBBS, MD (Medicine)",General Physician,PBM Hospital,"49, Jail Road, Bikaner, Rajasthan - 334430",0151-35689137,+91-6529273505,dr.anand.sharma@pbm.com,Bikaner,Rajasthan,₹400-600,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",MULTIPLE_CONFLICTS
P106,Dr. Vikram Menon,RMC/71770/2019,"MBBS, MD (Pediatrics)",Pediatrician,PBM Hospital,"646, Jail Road, Bikaner, Rajasthan - 334615",0151-73675622,+91-8208190658,dr.vikram.menon@pbm.com,Bikaner,Rajasthan,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",MOVED_ADDRESS
P107,Dr. Ravi Kumar,WBMC/94242/2012,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Park Street Clinic,"810, Alipore, Kolkata, West Bengal - 700732",033-59201088,+91-9933328667,dr.ravi.kumar@park.com,Kolkata,West Bengal,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Bengali",CORRECT_DATA
P108,Dr. Ajay Sharma,RMC/34795/2021,"MBBS, MD (Medicine)",General Physician,Bikaner Medical Center,"905, Sadul Ganj, Bikaner, Rajasthan - 334347",0151-20323220,+91-6520033276,dr.ajay.sharma@bikaner.com,Bikaner,Rajasthan,₹400-600,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",OUTDATED_PHONE
P109,Dr. Ravi Kumar,MMC/57037/2017,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Model Hospital,"519, Viman Nagar, Pune, Maharashtra - 411777",020-67611964,+91-7480882917,dr.ravi.kumar@model.com,Pune,Maharashtra,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Marathi",CORRECT_DATA
P110,Dr. Anand Mehta,TSMC/67414/2010,"MBBS, MD (Medicine)",General Physician,Yashoda Hospital Secunderabad,"391, Banjara Hills, Hyderabad, Telangana - 500715",040-81363076,+91-8482681939,dr.anand.mehta@yashoda.com,Hyderabad,Telangana,₹300-500,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Telugu",HOSPITAL_CHANGED
P111,Dr. Amit Desai,RMC/96992/2022,"MBBS, MD (Medicine)",General Physician,Eternal Heart Care,"893, Vaishali Nagar, Jaipur, Rajasthan - 302614",0141-68011722,+91-8585417090,dr.amit.desai@eternal.com,Jaipur,Rajasthan,₹300-500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P112,Dr. Nitin Agarwal,MMC/38328/2021,"MBBS, MD (Medicine)",General Physician,Suburban Clinic,"983, Churchgate, Mumbai, Maharashtra - 400852",022-81943549,+91-7241924523,dr.nitin.agarwal@suburban.com,Mumbai,Maharashtra,₹300-500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Marathi",CORRECT_DATA
P113,Dr. Amit Rao,RMC/69120/2023,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Royal Hospital,"543, Gandhi Nagar, Bikaner, Rajasthan - 334208",0151-88298416,+91-7485910861,dr.amit.rao@royal.com,Bikaner,Rajasthan,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P114,Dr. Pooja Sharma,MMC/33683/2016,"MBBS, MD (Medicine)",General Physician,Koregaon Park Clinic,"996, Hinjewadi, Pune, Maharashtra - 411313",020-88666928,+91-952632435,dr.pooja.sharma@koregaon.com,Pune,Maharashtra,₹400-600,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Marathi",CORRECT_DATA
P115,Dr. Sneha Verma,TNMC/71554/2015,"MBBS, MD (Medicine)",General Physician,Apollo Hospital Greams Road,"911, Velachery, Chennai, Tamil Nadu - 600577",044-54838570,+91-8947193479,dr.sneha.verma@apollo.com,Chennai,Tamil Nadu,₹300-500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Tamil",CORRECT_DATA
P116,Dr. Rajesh Verma,TSMC/95311/2018,"MBBS, MD (Medicine)",General Physician,Sunrise Clinic,"6, KPHB, Hyderabad, Telangana - 500769",040-60067752,+91-731763157,dr.rajesh.verma@sunrise.com,Hyderabad,Telangana,₹300-500,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Telugu",CORRECT_DATA
P117,Dr. Anjali Gupta,MMC/47539/2015,"MBBS, MD, DM (Cardiology)",Cardiologist,Model Hospital,"86, Viman Nagar, Pune, Maharashtra - 411291",020-24859701,+91-6751110088,dr.anjali.gupta@model.com,Pune,Maharashtra,₹1200-2000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Marathi",OUTDATED_PHONE
P118,Dr. Preeti Desai,DMC/79797/2016,"MBBS, MD, DM (Neurology)",Neurologist,BLK Hospital,"83, Connaught Place, Delhi, Delhi - 110735",011-83188683,+91-8108969105,dr.preeti.desai@blk.com,Delhi,Delhi,₹600-1000,Mon-Sat: 9 AM - 5 PM,"English, Hindi",CORRECT_DATA
P119,Dr. Divya Sharma,RMC/98819/2015,"MBBS, MD, DM (Cardiology)",Cardiologist,Malviya Nagar Clinic,"627, C Scheme, Jaipur, Rajasthan - 302802",0141-50033241,+91-7668376802,dr.divya.sharma@malviya.com,Jaipur,Rajasthan,₹1200-2000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",MOVED_ADDRESS
P120,Dr. Arun Sharma,DMC/90734/2018,"MBBS, MD (Medicine)",General Physician,BLK Hospital,"838, Connaught Place, Delhi, Delhi - 110585",011-42258719,+91-8198696713,dr.arun.sharma@blk.com,Delhi,Delhi,₹300-500,Mon-Fri: 10 AM - 6 PM,"English, Hindi",MOVED_ADDRESS
P121,Dr. Meera Reddy,WBMC/58618/2016,"MBBS, MD (Medicine)",General Physician,Peerless Hospital,"43, Behala, Kolkata, West Bengal - 700514",033-48762449,+91-9750303744,dr.meera.reddy@peerless.com,Kolkata,West Bengal,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Bengali",MOVED_ADDRESS
P122,Dr. Praveen Agarwal,MMC/27227/2023,"MBBS, MS (Ophthalmology)",Ophthalmologist,Suburban Clinic,"839, Churchgate, Mumbai, Maharashtra - 400222",022-79507089,+91-768067574,dr.praveen.agarwal@suburban.com,Mumbai,Maharashtra,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Marathi",CORRECT_DATA
P123,Dr. Anand Kumar,DMC/79969/2010,"MBBS, MD (Medicine)",General Physician,Capital Clinic,"228, Dwarka, Delhi, Delhi - 110828",011-25230265,+91-6776122585,dr.anand.kumar@capital.com,Delhi,Delhi,₹400-600,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi",OUTDATED_PHONE
P124,Dr. Sunita Sharma,TNMC/27886/2009,"MBBS, MD (Pediatrics)",Pediatrician,MIOT International,"102, Nungambakkam, Chennai, Tamil Nadu - 600677",044-42669602,+91-8336298948,dr.sunita.sharma@miot.com,Chennai,Tamil Nadu,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Tamil",CORRECT_DATA
P125,Dr. Divya Rao,WBMC/23999/2011,"MBBS, MD (Medicine)",General Physician,Fortis Hospital Anandapur,"401, Howrah, Kolkata, West Bengal - 700287",033-69484562,+91-7135399120,dr.divya.rao@fortis.com,Kolkata,West Bengal,₹300-500,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Bengali",CORRECT_DATA
P126,Dr. Ashok Sharma,RMC/85739/2023,"MBBS, MD (Medicine)",General Physician,Narayana Multispeciality Hospital,"497, C Scheme, Jaipur, Rajasthan - 302881",0141-97129393,+91-77051757,dr.ashok.sharma@narayana.com,Jaipur,Rajasthan,₹400-600,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",CORRECT_DATA
P127,Dr. Pooja Mehta,TNMC/30527/2021,"MBBS, MD (Pediatrics)",Pediatrician,Apollo Hospital Greams Road,"208, Anna Nagar, Chennai, Tamil Nadu - 600360",044-73480197,+91-8623518271,dr.pooja.mehta@apollo.com,Chennai,Tamil Nadu,₹600-1000,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Tamil",CORRECT_DATA
P128,Dr. Priya Iyer,RMC/35482/2013,"MBBS, MD (Pediatrics)",Pediatrician,Bikaner Medical Center,"726, Karni Nagar, Bikaner, Rajasthan - 334377",0151-49392576,+91-8960847437,dr.priya.iyer@bikaner.com,Bikaner,Rajasthan,₹500-800,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Hindi",MOVED_ADDRESS
P129,Dr. Pooja Desai,GMC/97201/2019,"MBBS, MD (Dermatology)",Dermatologist,HCG Cancer Centre,"613, Maninagar, Ahmedabad, Gujarat - 380343",079-98491599,+91-7810728598,dr.pooja.desai@hcg.com,Ahmedabad,Gujarat,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Gujarati",CORRECT_DATA
P130,Dr. Sunita Menon,RMC/66959/2016,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,City Care Bikaner,"74, Karni Nagar, Bikaner, Rajasthan - 334952",0151-37152105,+91-6778887589,dr.sunita.menon@city.com,Bikaner,Rajasthan,₹800-1200,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",OUTDATED_PHONE
P131,Dr. Nitin Singh,UPMC/56833/2016,"MBBS, MD (Dermatology)",Dermatologist,Apollo Medics Hospital,"2, Indira Nagar, Lucknow, Uttar Pradesh - 226974",0522-82714983,+91-8727728098,dr.nitin.singh@apollo.com,Lucknow,Uttar Pradesh,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",CORRECT_DATA
P132,Dr. Nisha Reddy,MMC/75647/2012,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Breach Candy Hospital,"732, Andheri West, Mumbai, Maharashtra - 400486",022-97616515,+91-853478171,dr.nisha.reddy@breach.com,Mumbai,Maharashtra,₹1000-1500,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",CORRECT_DATA
P133,Dr. Pooja Kumar,KMC/15666/2013,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Wellness Hospital,"99, HSR Layout, Bangalore, Karnataka - 560610",080-47114773,+91-7964173512,dr.pooja.kumar@wellness.com,Bangalore,Karnataka,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Kannada",CORRECT_DATA
P134,Dr. Vikram Gupta,MMC/34937/2021,"MBBS, MD (Dermatology)",Dermatologist,Hinduja Hospital Khar,"203, Andheri West, Mumbai, Maharashtra - 400696",022-80487369,+91-9457851021,dr.vikram.gupta@hinduja.com,Mumbai,Maharashtra,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Marathi",CORRECT_DATA
P135,Dr. Meera Rao,MMC/78307/2017,"MBBS, DLO",ENT Specialist,Columbia Asia Kharadi,"676, Koregaon Park, Pune, Maharashtra - 411182",020-53791093,+91-8100126572,dr.meera.rao@columbia.com,Pune,Maharashtra,₹500-800,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Marathi",CORRECT_DATA
P136,Dr. Divya Joshi,MMC/29631/2022,"MBBS, DLO",ENT Specialist,Deenanath Mangeshkar Hospital,"856, Viman Nagar, Pune, Maharashtra - 411240",020-67004728,+91-9450751836,dr.divya.joshi@deenanath.com,Pune,Maharashtra,₹500-800,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Marathi",CORRECT_DATA
P137,Dr. Arun Pillai,UPMC/41510/2023,"MBBS, MD, DM (Neurology)",Neurologist,Apollo Medics Hospital,"33, Hazratganj, Lucknow, Uttar Pradesh - 226396",0522-72283763,+91-7144051634,dr.arun.pillai@apollo.com,Lucknow,Uttar Pradesh,₹500-800,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P138,Dr. Kavita Verma,MMC/46709/2009,"MBBS, MS (Ophthalmology)",Ophthalmologist,Marine Drive Hospital,"455, Churchgate, Mumbai, Maharashtra - 400604",022-93767164,+91-7456819460,dr.kavita.verma@marine.com,Mumbai,Maharashtra,₹500-800,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Marathi",CORRECT_DATA
P139,Dr. Priya Patel,GMC/47896/2014,"MBBS, MD (Pediatrics)",Pediatrician,Shalby Hospital SG Highway,"922, Bodakdev, Ahmedabad, Gujarat - 380527",079-23852267,+91-6716924668,dr.priya.patel@shalby.com,Ahmedabad,Gujarat,₹500-800,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Gujarati",OUTDATED_PHONE
P140,Dr. Karthik Verma,RMC/79053/2023,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,PBM Hospital,"889, Jail Road, Bikaner, Rajasthan - 334604",0151-38750719,+91-6817571813,dr.karthik.verma@pbm.com,Bikaner,Rajasthan,₹500-800,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Hindi",OUTDATED_PHONE
P141,Dr. Meera Iyer,RMC/17628/2010,"MBBS, MD, DM (Neurology)",Neurologist,PBM Hospital,"853, Ganga Shahar, Bikaner, Rajasthan - 334734",0151-70641479,+91-836854168,dr.meera.iyer@pbm.com,Bikaner,Rajasthan,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",HOSPITAL_CHANGED
P142,Dr. Praveen Singh,RMC/79063/2010,"MBBS, MD (Medicine)",General Physician,PBM Hospital,"861, Station Road, Bikaner, Rajasthan - 334401",0151-54216821,+91-8534367628,dr.praveen.singh@pbm.com,Bikaner,Rajasthan,₹400-600,"Mon-Sat: 8 AM - 2 PM, 5 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P143,Dr. Neha Pillai,RMC/81751/2011,"MBBS, MD (Medicine)",General Physician,SMS Hospital,"438, Mansarovar, Jaipur, Rajasthan - 302776",0141-28384117,+91-6401520462,dr.neha.pillai@sms.com,Jaipur,Rajasthan,₹400-600,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Hindi",OUTDATED_PHONE
P144,Dr. Manoj Mehta,RMC/59714/2012,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Bikaner Medical Center,"89, Station Road, Bikaner, Rajasthan - 334885",0151-32765723,+91-6265778677,dr.manoj.mehta@bikaner.com,Bikaner,Rajasthan,₹500-800,Mon-Sat: 9 AM - 5 PM,"English, Hindi, Hindi",OUTDATED_PHONE
P145,Dr. Sneha Singh,WBMC/40609/2018,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Peerless Hospital,"579, Howrah, Kolkata, West Bengal - 700613",033-68844910,+91-9983754799,dr.sneha.singh@peerless.com,Kolkata,West Bengal,₹600-1000,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Bengali",CORRECT_DATA
P146,Dr. Vikram Menon,TSMC/57734/2023,"MBBS, MS (Orthopedics)",Orthopedic Surgeon,Yashoda Hospital Secunderabad,"307, Gachibowli, Hyderabad, Telangana - 500447",040-98033929,+91-8312618562,dr.vikram.menon@yashoda.com,Hyderabad,Telangana,₹1000-1500,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Telugu",CORRECT_DATA
P147,Dr. Preeti Gupta,GMC/70472/2014,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Shalby Hospital SG Highway,"525, Satellite, Ahmedabad, Gujarat - 380202",079-33841012,+91-6189041843,dr.preeti.gupta@shalby.com,Ahmedabad,Gujarat,₹600-1000,Mon-Fri: 10 AM - 6 PM,"English, Hindi, Gujarati",OUTDATED_PHONE
P148,Dr. Praveen Iyer,UPMC/40665/2021,"MBBS, MD (Medicine)",General Physician,Medanta Hospital Lucknow,"706, Gomti Nagar, Lucknow, Uttar Pradesh - 226507",0522-80636678,+91-7729809659,dr.praveen.iyer@medanta.com,Lucknow,Uttar Pradesh,₹300-500,"Mon-Fri: 9 AM - 1 PM, 4 PM - 8 PM","English, Hindi, Hindi",CORRECT_DATA
P149,Dr. Kavita Joshi,MMC/75243/2010,"MBBS, MS (Obstetrics & Gynaecology)",Gynecologist,Model Hospital,"161, Viman Nagar, Pune, Maharashtra - 411633",020-68923032,+91-7159777915,dr.kavita.joshi@model.com,Pune,Maharashtra,₹600-1000,Tue-Sun: 11 AM - 7 PM,"English, Hindi, Marathi",HOSPITAL_CHANGED
